note ||| 	Mobile Networks and Applications 8, 209–221, 2003 © 2003 Kluwer Academic Publishers. Manufactured in The Netherlands.
bodyText ||| pared to the case without adaptive control for more than 50%
bodyText ||| high priority users. This might be useful to increase QoS for
bodyText ||| users of low population independent of their priority class.
bodyText ||| Figure 8 shows the revenue improvement for the usage-/
bodyText ||| throughput-based pricing policy and scaling exponents γ =
bodyText ||| 1/4 and γ = 1/16. In the last experiment we studied the
bodyText ||| revenue improvement for the hybrid pricing policy (see fig-
bodyText ||| ure 9). We assume that half of the arriving users start their
bodyText ||| session in non-paying mode (i.e., k = 2). The curves distin-
bodyText ||| guish between weights w&apos; = 1 and w&apos; = 2 for the non-paying
bodyText ||| users. Furthermore, the revenue for the case with and without
bodyText ||| adaptive control is compared. The curves are derived from
bodyText ||| simulations with γ = 0 and α = 1/2. From the revenue
bodyText ||| curves of figures 7–9 the average monthly revenue can be
bodyText ||| computed considering a daily/weekly usage-pattern and dif-
bodyText ||| ferent splits of call arrival rates of users requesting different
bodyText ||| services (i.e., voice, RT, NRT with different priorities). Com-
bodyText ||| paring the monthly revenue for the pricing policies used in
bodyText ||| figures 7–9 with the monthly revenue for the hybrid pricing
bodyText ||| policy a provider can determine values such as the monthly
bodyText ||| free data volume and monthly payment per user.
sectionHeader ||| 6. Conclusions
bodyText ||| We introduced a unified approach based on a mathematical
bodyText ||| framework for the adaptive performance management of 3G
bodyText ||| mobile networks. Opposed to previous work [8,13,19,21,25],
bodyText ||| the improvement of quality of service (QoS) and the optimiza-
bodyText ||| tion of mobile service provider revenue was considered in an
bodyText ||| integrated way. The unified approach aims at improving both
bodyText ||| QoS for mobile subscribers and increasing revenue earned by
bodyText ||| service providers. System parameters controlled by adaptive
bodyText ||| performance management constitute the portion of bandwidth
bodyText ||| reserved for handovers, the buffer threshold of the queue for
bodyText ||| non real-time traffic, and the weights of a weighted fair queue-
bodyText ||| ing packet scheduler.
bodyText ||| Using the UMTS traffic model of [15] and a simulator on
bodyText ||| the IP level for the UMTS system, we presented performance
bodyText ||| curves for various QoS measures to illustrate the benefit of
bodyText ||| the unified approach for adaptive performance management.
bodyText ||| We introduced update functions that effectively control the
bodyText ||| packet loss probability and the handover failure probability.
bodyText ||| Considering usage-based, usage-/throughput-based, and hy-
bodyText ||| brid pricing policies, we showed that the provider revenue in
bodyText ||| one cell can be significantly increased by the adaptive control
bodyText ||| of the queueing weights.
bodyText ||| Throughout the paper, we considered the services and QoS
bodyText ||| profiles standardized for UMTS. Thus, the proposed approach
bodyText ||| for adaptive control is tailored to UMTS networks. How-
bodyText ||| ever, by considering other services and QoS profiles, the ba-
bodyText ||| sic ideas underlying the unified approach for adaptive perfor-
bodyText ||| mance management can also be applied for the adaptive con-
bodyText ||| trol of other kinds of multi-service IP networks.
sectionHeader ||| References
reference ||| [1] 3GPP,http://www.3gpp.org
reference ||| [2] 3GPP, QoS concept and architecture, Technical Specification TS
reference ||| 23.107 (September 2001).
reference ||| [3] 3GPP, UTRAN overall description, Technical Specification TS 25.401
reference ||| (September 2001).
reference ||| [4] M. Ajmone Marsan, S. Marano, C. Mastroianni and M. Meo, Perfor-
reference ||| mance analysis of cellular mobile communication networks supporting
reference ||| multimedia services, Mobile Networks and Applications 5 (2000) 167–
reference ||| 177.
reference ||| [5] K. Aretz, M. Haardt, W. Konhäuser and W. Mohr, The future of wire-
reference ||| less communications beyond the third generation, Computer Networks
reference ||| 37 (2001) 83–92.
reference ||| [6] F. Barceló and J. Jordán, Channel holding time distribution in public
reference ||| cellular telephony, in: Proceedings of the 16th International Teletraffic
reference ||| Congress, Edinburgh, Scotland (1999) pp. 107–116.
reference ||| IMPROVING QoS AND PROVIDER REVENUE IN 3G MOBILE NETWORKS	221
reference ||| [7] CSIM18 – The Simulation Engine, http://www.mesquite.com
reference ||| [8] S.K. Das, R. Jayaram, N.K. Kakani and S.K. Sen, A call admission and
reference ||| control scheme for Quality-of-Service provisioning in next generation
reference ||| wireless networks, Wireless Networks 6 (2000) 17–30.
reference ||| [9] A. Demers, S. Keshav and S. Shenker, Analysis and simulation of a fair
reference ||| queueing algorithm, in: Proceedings of the International Symposium
reference ||| on Communications Architectures and Protocols (SIGCOMM), Austin,
reference ||| TX (1989) pp. 1–12.
reference ||| [ 10] S. Floyd and V. Jacobson, Link-sharing and resource management mod-
reference ||| els for packet networks, IEEE/ACM Transactions on Networking 3
reference ||| (1995) 365–386.
reference ||| [11] X. Geng and A.B. Whinston, Profiting from value-added wireless ser-
reference ||| vices, IEEE Computer 34 (August 2001) 87–89.
reference ||| [12] A. Gupta, D.O. Stahl and A.B. Whinston, The economics of network
reference ||| management, Communications of the ACM 42 (1999) 57–63.
reference ||| [13] A. Gupta, D.O. Stahl and A.B. Whinston, Priority pricing of inte-
reference ||| grated services networks, in: Internet Economics, eds. L. McKnight
reference ||| and J. Bailey (MIT Press, 1995) pp. 323–378.
reference ||| [14] G. Haring, R. Marie and K.S. Trivedi, Loss formulas and their appli-
reference ||| cation to optimization for cellular networks, IEEE Transactions on Ve-
reference ||| hicular Technology 50 (2001) 664–673.
reference ||| [15] A. Klemm, C. Lindemann and M. Lohmann, Traffic modeling and
reference ||| characterization for UMTS networks, in: Proceedings of GLOBECOM
reference ||| 2001, San Antonio, TX (November 2001) pp. 1741–1746.
reference ||| [16] A. Klemm, C. Lindemann and M. Lohmann, Traffic modeling of IP
reference ||| networks using the batch Markovian arrival process, in: Proceedings of
reference ||| Tools 2002, London, Great Britain (April 2002) pp. 92–110.
reference ||| [17] J. Kilpi and I. Norros, Call level traffic analysis of a large ISP, in: Pro-
reference ||| ceedings of the 13th ITC Specialist Seminar on Measurement and Mod-
reference ||| eling of IP Traffic, Monterey, CA (2000) pp. 6.1–6.9.
reference ||| [18] M. Krunz and A. Makowski, A source model for VBR video traffic
reference ||| based on M/G/oo input processes, in: Proceedings of the 17th Confer-
reference ||| ence on Computer Communications (IEEEINFOCOM), San Francisco,
reference ||| CA (1998) pp. 1441–1449.
reference ||| [19] C. Lindemann, M. Lohmann and A. Thiimmler, Adaptive performance
reference ||| management for UMTS networks, Computer Networks 38 (2002) 477–
reference ||| 496.
reference ||| [20] R. Ludwig, A. Konrad and A.D. Joseph, Optimizing the end-to-end
reference ||| performance of reliable flows over wireless links, in: Proceedings
reference ||| of the 5th Conference on Mobile Computing and Networking (ACM
reference ||| MobiCom), Seattle, WA (1999) pp. 113–119.
reference ||| [21] J.K. MacKie-Mason and H.R. Varian, Pricing the Internet, in: Public
reference ||| Access to the Internet, eds. B. Kahin and J. Keller (MIT Press, 1995)
reference ||| pp. 269–314.
reference ||| [22] M. Meyer, TCP performance over GPRS, in: Proceedings of the First
reference ||| Wireless Communications and Networking Conference (IEEE WCNC),
reference ||| New Orleans, MS (1999) pp. 1248–1252.
reference ||| [23] Mobile Wireless Internet Forum (MWIF), OpenRAN architecture in
reference ||| 3rd generation mobile systems, Technical report MTR-007 (September
reference ||| 2001)http://www.mwif.org
reference ||| [24] J.M. Peha and A. Sutivong, Admission control algorithms for cellular
reference ||| systems, Wireless Networks 7 (2001) 117–125.
reference ||| [25] S. Rao and E.R. Petersen, Optimal pricing of priority services, Opera-
reference ||| tions Research 46 (1998) 46–56.
reference ||| [26] UMTS-Forum, UMTS/IMT-2000 Spectrum, Report No. 6 (1999).
reference ||| [27] H. Zhang, Service disciplines for guaranteed performance service in
reference ||| packet-switched networks, Proceedings of the IEEE 83 (1995) 1374–
reference ||| 1396.
reference ||| [28] Wireless World Research Forum (WWRF), http://www.
reference ||| wireless-world-research.org
note ||| Christoph Lindemann is an Associate Professor in
note ||| the Department of Computer Science at the Univer-
note ||| sity of Dortmund and leads the Computer Systems
note ||| and Performance Evaluation group. From 1994 to
note ||| 1997, he was a Senior Research Scientist at the GMD
note ||| Institute for Computer Architecture and Software
note ||| Technology (GMD FIRST) in Berlin. In the sum-
note ||| mer 1993 and during the academic year 1994/1995,
note ||| he was a Visiting Scientist at the IBM Almaden Re-
note ||| search Center, San Jose, CA. Christoph Lindemann
note ||| is a Senior Member of the IEEE. He is author of the monograph Performance
note ||| Modelling with Deterministic and Stochastic Petri Nets (Wiley, 1998). More-
note ||| over, he co-authored the survey text Performance Evaluation – Origins and
note ||| Directions (Springer-Verlag, 2000). He served on the program committees of
note ||| various well-known international conferences. His current research interests
note ||| include mobile computing, communication networks, Internet search tech-
note ||| nology, and performance evaluation.
email ||| E-mail: cl@cs.uni-dortmund.de
note ||| WWW: http://www4.cs.uni-dortmund.de/^Lindemann/
note ||| Marco Lohmann received the degree Diplom-Infor-
note ||| matiker (M.S. in computer science) with honors
note ||| from the University of Dortmund in March 2000.
note ||| Presently, he is a Ph.D. student in the Computer Sys-
note ||| tems and Performance Evaluation group at the Uni-
note ||| versity of Dortmund. He is a student member of the
note ||| IEEE and the ACM. His research interests include
note ||| mobile computing, Internet search technology, and
note ||| stochastic modeling.
email ||| E-mail: ml@ls4.cs.uni-dortmund.de
note ||| Axel Thiimmler received the degree Diplom-Infor-
note ||| matiker (M. S. in computer science) from the Univer-
note ||| sity of Dortmund in April 1998. Presently, he is a
note ||| Ph.D. student in the Computer Systems and Perfor-
note ||| mance Evaluation group at the University of Dort-
note ||| mund. His research interests include mobile com-
note ||| puting, communication networks, and performance
note ||| evaluation.
email ||| E-mail: at@ls4.cs.uni-dortmund.de
