title ||| A Pseudo Random Coordinated Scheduling Algorithm for
bodyText ||| (j-1 < k < 2) the clock bits X = tcheck [k+1, ... , k+5] are fed
bodyText ||| as inputs to the PseudoBitGen procedure, while the control word
bodyText ||| WctT` is derived from tcheck including the bits already generated
bodyText ||| and from the MAC address of the slave As`ave. The schematic view
bodyText ||| of generating the clock bits of the next checkpoint is illustrated in
bodyText ||| Figure 12.
figureCaption ||| Figure 12: Generating the clock bits of the next checkpoint
figure ||| 28.
figure ||| 27.
figure ||| Wctrl
figure ||| k+5.
figure ||| PseudoBitGen
figure ||| X
figure ||| k+1.
figure ||| k.
figure ||| 2.
figure ||| 1.
figure ||| 0.
bodyText ||| The PseudoBitGen procedure is based on the pseudo random
bodyText ||| scheme used for frequency hop selection in Bluetooth. How-
bodyText ||| ever, before presenting the PseudoBitGen procedure we give the
bodyText ||| pseudo-code of the PseudoChkGen procedure.
bodyText ||| PseudoChkGen procedure:
bodyText ||| t(i): the current value of the master’s clock;
bodyText ||| Tcheck = 2j-2, j > 2: current length of the base checkperiod
bodyText ||| in terms of number of frames.
equation ||| (i)	(i)
equation ||| tcheck = t
equation ||| (i)tcheck [j — 1, . . . , 0] = 0;
equation ||| t(i)= t(i)	+T(i)
equation ||| check	check	check;
equation ||| k=j—1;
equation ||| while (k > 2)
equation ||| X[0, ... , 4] = t(i)
equation ||| check [k + 1,... , k + 5];
equation ||| tcheck[k] =PseudoBitGen(X,WctTd);
equation ||| k=k-1;
equation ||| end
bodyText ||| Finally, we discuss the PseudoBitGen procedure, which is illus-
bodyText ||| trated in Figure 13.
figure ||| Z[0]
figureCaption ||| Figure 13: The PseudoBitGen procedure
figure ||| P[13,12] P[11,10] P[9,8]	P[7,6]	P[5,4]	P[3,2] P[1,0]
figure ||| B
figure ||| A
figure ||| D
figure ||| 5
figure ||| C
figure ||| 5
figure ||| 5
figure ||| 9
figure ||| Add
figure ||| mod 32
figure ||| 5
figure ||| Y
figure ||| PERM5
figure ||| bit selector
figure ||| V[k mod 5]
figure ||| X
figure ||| O
figure ||| R
figure ||| Z
figure ||| X  5
figure ||| 5
figure ||| 5
figure ||| V
figure ||| 1
figure ||| O
figureCaption ||| Figure 14: Butterfly permutation
bodyText ||| The control words of the PseudoBitGen procedure
bodyText ||| WctTd = {A, B, C, D} are the same as the control words of
bodyText ||| the frequency hop selection scheme in Bluetooth and they are
bodyText ||| shown in Table 2. However, the input X and the additional
bodyText ||| bit selection operator at the end are different. As it has been
bodyText ||| discussed above the input X is changing depending on which
bodyText ||| bit of the checkpoint is going to be generated. When gener-
bodyText ||| ating the kth clock bit of the next checkpoint the clock bits
bodyText ||| X = tcheck [k + 1,... , k + 5] are fed as inputs and the bit
bodyText ||| selection operator at the end selects the (k mod 5)th bit of the 5
bodyText ||| bits long output V.
table ||| A	Asdave [27 — 23] ® tcheck [25 — 21]
table ||| B	B[0 — 3] = Asdave[22 — 19], B[4] =		0
table ||| C	Asdave [8, 6, 4, 2, 0] ® t(i)	— 16]
table ||| 	check [20
table ||| D	Asdave[18 — 10] ® t(i)	— 7]
table ||| 	check [15
tableCaption ||| Table 2: Control words
bodyText ||| The operation PERM5 is a butterfly permutation, which is the
bodyText ||| same as in the frequency hop selection scheme of Bluetooth and
bodyText ||| it is described in Figure 14. Each bit of the control word P is
bodyText ||| associated with a given bit exchange in the input word. If the
bodyText ||| given bit of the control word equals to 1 the corresponding bit ex-
bodyText ||| change is performed otherwise skipped. The control word P is
bodyText ||| obtained from C and D, such that P[i] = D[i], i = 0... 8 and
bodyText ||| P[j + 9] = C[j], j = 0 ... 4.
