title ||| A Distributed 3D Graphics Library
reference ||| [36] Sun Microsystems, Inc. The Java Shared Data Toolkit, 1998.
reference ||| Unsupported software, available at:
reference ||| http://developer.javasoft.com/developer/earlyAccess/jsdt/
reference ||| [37] I. Tou, S. Berson, G. Estrin, Y. Eterovic, and E. Wu. Prototyping
reference ||| Synchronous Group Applications. IEEE Computer, 27(5):48–56,
reference ||| May 1994.
reference ||| [38] R. Waters and D. Anderson. The Java Open Community Version 0.9
reference ||| Application Program Interface. Feb, 1997. Available online at:
reference ||| http://www.merl.com/opencom/opencom-java-api.html
reference ||| [39] A. Wollrath, R. Riggs, and J. Waldo. A Distributed Object Model for
reference ||| the Java System, In Proc. USENIX COOTS ’96, pages 219–231, July
reference ||| 1996.
reference ||| [40] R. Zeleznik, D. Conner, M. Wloka, D. Aliaga, N. Huang,
reference ||| P. Hubbard, B. Knep, H. Kaufman, J. Hughes, and A. van Dam. An
reference ||| Object-oriented Framework for the Integration of Interactive
reference ||| Animation Techniques. In Computer Graphics (SIGGRAPH '91
reference ||| Proceedings), pages 105–112, July, 1991.
reference ||| [41 ] M. J. Zyda, D. R. Pratt, J. G. Monahan, and K. P. Wilson. NPSNET:
reference ||| Constructing a 3D Virtual World. In Proc. 1992 ACM Symp. on
reference ||| Interactive 3D Graphics, pages 147–156, Mar. 1992.
