title ||| A Computational Approach to Reflective Meta-Reasoning about
reference ||| of the 15th International Conference on Theorem Proving
reference ||| in Higher Order Logics, pages 13–30, London, UK, 2002.
reference ||| Springer-Verlag.
reference ||| [ACM03] S. J. Ambler, R. L. Crole, and Alberto Momigliano. A
reference ||| definitional approach to primitive recursion over higher
reference ||| order abstract syntax. In Proceedings of the 2003 workshop
reference ||| on Mechanized reasoning about languages with variable
reference ||| binding, pages 1–11. ACM Press, 2003.
reference ||| [ACU93] William Aitken, Robert L. Constable, and Judith Underwood.
reference ||| Metalogical Frameworks II: Using reflected decision pro-
reference ||| cedures.Journal of Automated Reasoning, 22(2):171–221,
reference ||| 1993.
page ||| 10
reference ||| [All87a]	Stuart F. Allen. A Non-type-theoretic Definition of Martin-
reference ||| L¨of’s Types. In D. Gries, editor, Proceedings ofthe 2nd IEEE
reference ||| Symposium on Logic in Computer Science, pages 215–224.
reference ||| IEEE Computer Society Press, June 1987.
reference ||| [All87b]	Stuart F. Allen. A Non-Type-Theoretic Semantics for Type-
reference ||| Theoretic Language. PhD thesis, Cornell University, 1987.
reference ||| [Art99]	Sergei Artemov. On explicit reflection in theorem proving
reference ||| and formal verification. In Ganzinger [Gan99], pages 267–
reference ||| 281.
reference ||| [Art04]	Sergei Artemov. Evidence-based common knowledge.
reference ||| Technical Report TR-2004018, CUNY Ph.D. Program in
reference ||| Computer Science Technical Reports, November 2004.
reference ||| [BA02]	Eli Barzilay and Stuart Allen. Reflecting higher-order abstract
reference ||| syntax in NuPRL. In Victor A. Carre˜no, C´ezar A. Mu˜noz,
reference ||| and Sophi`ene Tahar, editors, Theorem Proving in Higher
reference ||| Order Logics; Track B Proceedings of the 15th International
reference ||| Conference on Theorem Proving in Higher Order Logics
reference ||| (TPHOLs 2002), Hampton, VA, August 2002, pages 23–32.
reference ||| National Aeronautics and Space Administration, 2002.
reference ||| [BAC03]	Eli Barzilay, Stuart Allen, and Robert Constable. Practical
reference ||| reflection in NuPRL. Short paper presented at 18th Annual
reference ||| IEEE Symposium on Logic in Computer Science, June 22–
reference ||| 25, Ottawa, Canada, 2003.
reference ||| [Bar01]	Eli Barzilay. Quotation and reflection in NuPRL and Scheme.
reference ||| Technical Report TR2001-1832, Cornell University, Ithaca,
reference ||| New York, January 2001.
reference ||| [Bar05]	Eli Barzilay. Implementing Reflection in NuPRL. PhD thesis,
reference ||| Cornell University, 2005. In preparation.
reference ||| [CAB+86] Robert L. Constable, Stuart F. Allen, H. M. Bromley, W. R.
reference ||| Cleaveland, J. F. Cremer, R. W. Harper, Douglas J. Howe,
reference ||| T. B. Knoblock, N. P. Mendler, P. Panangaden, James T.
reference ||| Sasaki, and Scott F. Smith. Implementing Mathematics with
reference ||| the NuPRL ProofDevelopment System. Prentice-Hall, NJ,
reference ||| 1986.
reference ||| [CFW04]	Luis Crus-Filipe and Freek Weidijk. Hierarchical reflection.
reference ||| In Slind et al. [SBG04], pages 66–81.
reference ||| [Con94]	Robert L. Constable. Using reflection to explain and enhance
reference ||| type theory. In Helmut Schwichtenberg, editor, Proof and
reference ||| Computation, volume 139 of NATO Advanced Study Insti-
reference ||| tute, International Summer School held in Marktoberdorf,
reference ||| Germany, July 20-August 1, NATO Series F, pages 65–100.
reference ||| Springer, Berlin, 1994.
reference ||| [dB72]	N. G. de Bruijn. Lambda calculus notation with nameless
reference ||| dummies, a tool for automatic formula manipulation, with
reference ||| application to the Church-Rosser theorem. Indagaciones
reference ||| Mathematische, 34:381–392, 1972. This also appeared in the
reference ||| Proceedings of the Koninklijke Nederlandse Akademie van
reference ||| Wetenschappen, Amsterdam, series A, 75, No. 5.
reference ||| [DFH95]	Jo¨elle Despeyroux, Amy Felty, and Andr´e Hirschowitz.
reference ||| Higher-order abstract syntax in Coq. In M. Dezani-
reference ||| Ciancaglini and G. Plotkin, editors, Proceedings of the
reference ||| International Conference on Typed Lambda Calculus and
reference ||| its Applications, volume 902 of Lecture Notes in Computer
reference ||| Science, pages 124–138. Springer-Verlag, April 1995. Also
reference ||| appears as INRIA research report RR-2556.
reference ||| [DH94]	Jo¨elle Despeyroux and Andr´e Hirschowitz. Higher-order
reference ||| abstract syntax with induction in Coq. In LPAR ’94:
reference ||| Proceedings of the 5th International Conference on Logic
reference ||| Programming and Automated Reasoning, volume 822
reference ||| of Lecture Notes in Computer Science, pages 159–173.
reference ||| Springer-Verlag, 1994. Also appears as INRIA research
reference ||| report RR-2292.
reference ||| [DH95]	James Davis and Daniel Huttenlocher. Shared annotations for
reference ||| cooperative learning. In Proceedings of the ACM Conference
reference ||| on Computer Supported Cooperative Learning, September
reference ||| 1995.
reference ||| [DL99]	Jo¨elle Despeyroux and Pierre Leleu. A modal lambda
reference ||| calculus with iteration and case constructs. In T. Altenkirch,
reference ||| W. Naraschewski, and B. Reus, editors, Types for Proofs
reference ||| and Programs: International Workshop, TYPES ’98, Kloster
reference ||| Irsee, Germany, March 1998, volume 1657 of Lecture Notes
reference ||| in Computer Science, pages 47–61, 1999.
reference ||| [DL01]	Jo¨elle Despeyroux and Pierre Leleu. Recursion over objects
reference ||| of functional type. Mathematical Structures in Computer
reference ||| Science, 11(4):555–572, 2001.
reference ||| [DPS97]	Jo¨elle Despeyroux, Frank Pfenning, and Carsten Sch¨urmann.
reference ||| Primitive recursion for higher–order abstract syntax. In
reference ||| R. Hindley, editor, Proceedings of the Third International
reference ||| Conference on Typed Lambda Calculus and Applications
reference ||| (TLCA’97), volume 1210 of Lecture Notes in Computer
reference ||| Science, pages 147–163. Springer-Verlag, April 1997. An
reference ||| extended version is available as Technical Report CMU-CS-
reference ||| 96-172, Carnegie Mellon University.
reference ||| [EM71]	Andrzej Ehrenfeucht and Jan Mycielski. Abbreviating
reference ||| proofs by adding new axioms. Bulletin of the American
reference ||| Mathematical Society, 77:366–367, 1971.
reference ||| [F+86]	Solomon Feferman et al., editors. Kurt G¨odel Collected
reference ||| Works, volume 1. Oxford University Press, Oxford,
reference ||| Clarendon Press, New York, 1986.
reference ||| [FPT99]	Marcelo Fiore, Gordon Plotkin, and Daniele Turi. Abstract
reference ||| syntax and variable binding. In Proceedings of 14th IEEE
reference ||| Symposium on Logic in Computer Science, pages 193+. IEEE
reference ||| Computer Society Press, 1999.
reference ||| [Gan99]	Harald Ganzinger, editor. Proceedings of the 16th Interna-
reference ||| tional Conference on Automated Deduction, volume 1632
reference ||| of Lecture Notes in Artificial Intelligence, Berlin, July 7–10
reference ||| 1999. Trento, Italy.
reference ||| [GM96]	A. D. Gordon and T. Melham. Five axioms of alpha-
reference ||| conversion. In J. von Wright, J. Grundy, and J. Harrison,
reference ||| editors, Theorem Proving in Higher Order Logics: 9th
reference ||| International Conference, Turku, Finland, August 1996:
reference ||| Proceedings, volume 1125 of Lecture Notes in Computer
reference ||| Science, pages 173–190. Springer-Verlag, 1996.
reference ||| [GMO03] Jim Grundy, Tom Melham, and John O’Leary. A reflective
reference ||| functional language for hardware design and theorem
reference ||| proving. Technical Report PRG-RR-03-16, Oxford Univerity,
reference ||| Computing Laboratory, 2003.
reference ||| [G¨od31 ]	Kurt G¨odel. ¨Uber formal unentscheidbare s¨atze der principia
reference ||| mathematica und verwandter systeme I. Monatshefte f¨ur
reference ||| Mathematik und Physik, 38:173–198, 1931. English version
reference ||| in [vH67].
reference ||| [G¨od36]	K. G¨odel. ¨Uber die L¨ange von beweisen. Ergebnisse
reference ||| eines mathematischen Kolloquiums, 7:23–24, 1936. English
reference ||| translation in [F+86], pages 397–399.
reference ||| [GS89]	F. Giunchiglia and A. Smaill. Reflection in constructive
reference ||| and non-constructive automated reasoning. In H. Abramson
reference ||| and M. H. Rogers, editors, Meta-Programming in Logic
reference ||| Programming, pages 123–140. MIT Press, Cambridge,
reference ||| Mass., 1989.
reference ||| [GWZ00] H. Geuvers, F. Wiedijk, and J. Zwanenburg. Equational rea-
reference ||| soning via partial reflection. In J. Harrison and M. Aagaard,
reference ||| editors, Theorem Proving in Higher Order Logics: 13th Inter-
reference ||| national Conference, TPHOLs 2000, volume 1869 of Lecture
reference ||| Notes in Computer Science, pages 162–178. Springer-Verlag,
reference ||| 2000.
reference ||| [HAB+]	Jason J. Hickey, Brian Aydemir, Yegor Bryukhov, Alexei
reference ||| Kopylov, Aleksey Nogin, and Xin Yu. A listing of Meta PRL
reference ||| theories. http://metaprl.org/theories.pdf.
reference ||| [Har95]	J. Harrison. Metatheory and reflection in theorem proving:
reference ||| A survey and critique. Technical Report CRC-53, SRI
reference ||| International, Cambridge Computer Science Research
reference ||| Centre, Millers Yard, Cambridge, UK, February 1995.
page ||| 11
reference ||| [HHP93]	Robert Harper, Furio Honsell, and Gordon Plotkin. A
reference ||| framework for defining logics. Journal of the Association
reference ||| for Computing Machinery, 40(1):143–184, January 1993. A
reference ||| revised and expanded verion of ’87 paper.
reference ||| [Hic97]	Jason J. Hickey. NuPRL-Light: An implementation
reference ||| framework for higher-order logics. In William McCune,
reference ||| editor, Proceedings of the 14th International Conference
reference ||| on Automated Deduction, volume 1249 of Lecture Notes in
reference ||| Artificial Intelligence, pages 395–399. Springer, July 13–17
reference ||| 1997. An extended version of the paper can be found at
reference ||| http://www.cs.caltech.edu/~jyh/papers/cade14_
reference ||| nl/default.html.
reference ||| [Hic99]	Jason J. Hickey. Fault-tolerant distributed theorem proving.
reference ||| In Ganzinger [Gan99], pages 227–231.
reference ||| [Hic01]	Jason J. Hickey. The MetaPRL Logical Programming
reference ||| Environment. PhD thesis, Cornell University, Ithaca, NY,
reference ||| January 2001.
reference ||| [HL78]	G´erard P. Huet and Bernard Lang. Proving and applying
reference ||| program transformations expressed with second-order
reference ||| patterns. Acta Informatica, 11:31–55,1978.
reference ||| [HNC+03] Jason Hickey, Aleksey Nogin, Robert L. Constable,
reference ||| Brian E. Aydemir, Eli Barzilay, Yegor Bryukhov, Richard
reference ||| Eaton, Adam Granicz, Alexei Kopylov, Christoph Kreitz,
reference ||| Vladimir N. Krupski, Lori Lorigo, Stephan Schmitt, Carl
reference ||| Witty, and Xin Yu. MetaPRL — A modular logical en-
reference ||| vironment. In David Basin and Burkhart Wolff, editors,
reference ||| Proceedings of the 16th International Conference on Theo-
reference ||| rem Proving in Higher OrderLogics (TPHOLs 2003), volume
reference ||| 2758 of Lecture Notes in Computer Science, pages 287–303.
reference ||| Springer-Verlag, 2003.
reference ||| [HNK+]	Jason J. Hickey, Aleksey Nogin, Alexei Kopylov, et al.
reference ||| MetaPRL home page. http://metaprl.org/.
reference ||| [Mos52]	Andrzej Mostowski. Sentences undecidable in formalized
reference ||| arithmetic: an exposition of the theory of Kurt G¨odel.
reference ||| Amsterdam: North-Holland, 1952.
reference ||| [NH02]	Aleksey Nogin and Jason Hickey. Sequent schema for
reference ||| derived rules. In Victor A. Carre˜no, C´ezar A. Mu˜noz,
reference ||| and Sophi`ene Tahar, editors, Proceedings of the 15th
reference ||| International Conference on Theorem Proving in Higher
reference ||| Order Logics (TPHOLs 2002), volume 2410 of Lecture Notes
reference ||| in Computer Science, pages 281–297. Springer-Verlag, 2002.
reference ||| [NKYH05] Aleksey Nogin, Alexei Kopylov, Xin Yu, and Jason Hickey.
reference ||| A computational approach to reflective meta-reasoning
reference ||| about languages with bindings. Technical Report Cal-
reference ||| techCSTR:2005.003, California Institure of Technology,
reference ||| 2005. Available at http://resolver.caltech.edu/
reference ||| CaltechCSTR:2005.003.
reference ||| [Nor04]	Michael Norrish. Recursive function definition for types with
reference ||| binders. In Slind et al. [SBG04], pages 241–256.
reference ||| [Par71]	R. Parikh. Existence and feasibility in arithmetic. The Journal
reference ||| ofSymbolic Logic, 36:494–508,1971.
reference ||| [Pau94]	Lawrence C. Paulson. Isabelle: A Generic Theorem Prover,
reference ||| volume 828 of Lecture Notes in Computer Science. Springer-
reference ||| Verlag, New York, 1994.
reference ||| [PE88]	Frank Pfenning and Conal Elliott. Higher-order abstract
reference ||| syntax. In Proceedings oftheACMSIGPLAN’88 Conference
reference ||| on Programming Language Design and Implementation
reference ||| (PLDI), volume 23(7) of SIGPLANNotices, pages 199–208,
reference ||| Atlanta, Georgia, June 1988. ACM Press.
reference ||| [Pfe89]	Frank Pfenning. Elf: a language for logic definition and
reference ||| verified metaprogramming. In Proceedings of the 4th IEEE
reference ||| Symposium on Logic in Computer Science, pages 313–322,
reference ||| Asilomar Conference Center, Pacific Grove, California, June
reference ||| 1989. IEEE Computer Society Press.
reference ||| [Plo90]	Gordon Plotkin. An illative theory of relations. In R. Cooper,
reference ||| K. Mukai, and J. Perry, editors, Situation Theory and Its
reference ||| Applications, Volume 1, number 22 in CSLI Lecture Notes,
reference ||| pages 133–146. Centre for the Study of Language and
reference ||| Information, 1990.
reference ||| [PN90]	L. Paulson and T. Nipkow. Isabelle tutorial and user’s man-
reference ||| ual. Technical report, University of Cambridge Computing
reference ||| Laboratory, 1990.
reference ||| [SBG04]	Konrad Slind, Annette Bunker, and Ganesh Gopalakrishnan,
reference ||| editors. Proceedings of the 17th International Conference
reference ||| on Theorem Proving in Higher Order Logics (TPHOLs
reference ||| 2004), volume 3223 of Lecture Notes in Computer Science.
reference ||| Springer-Verlag, 2004.
reference ||| [Sch01]	Carsten Sch¨urmann. Recursion for higher-order encodings.
reference ||| In L. Fribourg, editor, Computer Science Logic, Proceedings
reference ||| of the 10th Annual Conference of the EACSL, volume 2142
reference ||| of Lecture Notes in Computer Science, pages 585–599.
reference ||| Springer-Verlag, 2001.
reference ||| [Smi84]	B.C. Smith. Reflection and semantics in Lisp. Principles of
reference ||| Programming Languages, pages 23–35, 1984.
reference ||| [vH67]	J. van Heijenoort, editor. From Frege to G¨odel: A Source
reference ||| Book in Mathematical Logic, 1879–1931. Harvard University
reference ||| Press, Cambridge, MA, 1967.
page ||| 12
