title ||| An expressive aspect language for system applications
bodyText ||| Furthermore, none of these systems provides explicit sup-
bodyText ||| port for aspects over join point sequences.
bodyText ||| There is quite a large body of work now on the notion of
bodyText ||| expressive aspect languages where “more expressive” typi-
bodyText ||| cally compares to w.r.t. AspectJ’s pointcut and advice mod-
bodyText ||| els. Our work has been inspired by Event-based AOP [15],
bodyText ||| which aims at the definition of pointcuts in terms of arbi-
bodyText ||| trary relations between events. Nevertheless, many other
bodyText ||| approaches to expressive aspect languages exist: e.g., data-
bodyText ||| flow relations [26], logic programming [13], process algebras
bodyText ||| [3], graphs [5], and temporal logics [1], have all been pro-
bodyText ||| posed as a basis for the definition of expressive aspect lan-
bodyText ||| guages. However, few of these encompass dynamic weaving
bodyText ||| and only the latter has been applied to C code under effi-
bodyText ||| ciency considerations similar to our setting.
bodyText ||| Dynamic weaving is commonly realized in Java through
bodyText ||| preprocessing at load-time like [8] or through the JVM De-
bodyText ||| bugging Interface [28]. These tools rely on bytecode rewrit-
bodyText ||| ing techniques, have typically limited expressivity (some do
bodyText ||| not support field accesses) and incur a huge performance
bodyText ||| overhead. Dynamic weaving through modification at run-
bodyText ||| time is found infrequently for compiled languages. An ex-
bodyText ||| ception for Java is JasCo [21] whose most recent version (0.7)
bodyText ||| supports dynamic weaving through the new instrumentation
bodyText ||| API of Java 5.
bodyText ||| Many instrumentation techniques have been proposed to
bodyText ||| rewrite binary code on the fly. In these approaches, dif-
bodyText ||| ficulty issues range from the complexity to rewrite binary
bodyText ||| code to the lack of a well-defined relationship between source
bodyText ||| code and the compiler generated binary code. Hence many
bodyText ||| approaches work on an intermediate representation of the
bodyText ||| binary code and source language [34]. Producing this repre-
bodyText ||| sentation first and then regenerating the appropriate binary
bodyText ||| executable code has proven to be costly both in terms of
bodyText ||| memory consumption and in CPU time.
bodyText ||| A few other approaches have considered a direct rewrit-
bodyText ||| ing of the binary code at runtime. Dyninst [17] and dynamic
bodyText ||| probes [27] allow programmers to modify any binary instruc-
bodyText ||| tion belonging to an executable. Dyninst however relies on
bodyText ||| the Unix debugging API: ptrace. ptrace allows a third
bodyText ||| party process to read and write the base program memory.
bodyText ||| It is however highly inefficient: before using ptrace, the
bodyText ||| third party process has to suspend the execution of the base
bodyText ||| program and resume its execution afterwards. In compari-
bodyText ||| son, Arachne uses ptrace at most once, to inject its kernel
bodyText ||| DLL into the base program process. In addition, Dyninst
bodyText ||| does not free the programmer from dealing with low level
bodyText ||| details. For example, it seems difficult to trigger an advice
bodyText ||| execution upon a variable access with Dyninst: the transla-
bodyText ||| tion from the variable identifier to an effective address is left
bodyText ||| to the user. Worse, Dyninst does not grant that the manip-
bodyText ||| ulation of the binary instructions it performs will succeed.
bodyText ||| Dyninst uses an instrumentation strategy where several ad-
bodyText ||| jacent instructions are relocated. This is unsafe as one of
bodyText ||| the relocated instructions can be the target of branching
bodyText ||| instructions. In comparison, Arachne join point model has
bodyText ||| been carefully chosen to avoid these kind of issues; if an as-
bodyText ||| pect can be compiled with Arachne, it can always be woven.
bodyText ||| 7. CONCLUSION AND FUTURE WORK
bodyText ||| In this paper we have discussed three different crosscut-
bodyText ||| ting concerns which are typical for C applications using OS-
bodyText ||| level services and which frequently need to be applied at
bodyText ||| runtime. We have motivated that such concerns can be ex-
bodyText ||| pressed as aspects and have defined a suitable aspect lan-
bodyText ||| guage. This language is more expressive than those used in
bodyText ||| other aspect weavers for C in that it provides support for
bodyText ||| aspects defined over sequences of execution points as well as
bodyText ||| for variable aliases. We have presented an integration of this
bodyText ||| language into Arachne, a weaver for runtime weaving of as-
bodyText ||| pects in C applications. Finally, we have provided evidence
bodyText ||| that the integration is efficient enough to apply such aspects
bodyText ||| dynamically to high-performance applications, in particular
bodyText ||| the web cache “squid.”
bodyText ||| As future work, we intend to investigate the suitability of
bodyText ||| the proposed aspect language for other C-applications. We
bodyText ||| also intend to investigate Arachne extension to the C++
bodyText ||| language. Indeed, object-oriented programming heavily uses
bodyText ||| protocol-based interfaces collaboration (hence sequence as-
bodyText ||| pects). Along with its open architecture, extending Arachne
bodyText ||| to support C++, will pave the way to a relatively language
bodyText ||| independent aspect and weaving infrastructure. Finally,
bodyText ||| Arachne’s toolbox should be extended with support for as-
bodyText ||| pect interactions (e.g., analyses and composition operators).
sectionHeader ||| 8. REFERENCES
reference ||| [1] R. A. ºAberg, J. L. Lawall, M. SÄudholt, G. Muller, and
reference ||| A.-F. L. Meur. On the automatic evolution of an os
reference ||| kernel using temporal logic and AOP. In Proceedings
reference ||| of Automated Software Engineering (ASE’03), pages
reference ||| 196{204. IEEE, 2003.
reference ||| [2] American National Standards Institute.
reference ||| ANSI/ISO/IEC 9899-1999: Programming Languages
reference ||| — C. American National Standards Institute, 1430
reference ||| Broadway, New York, NY 10018, USA, 1999.
reference ||| [3] J. H. Andrews. Process-algebraic foundations of
reference ||| aspect-oriented programming. In Proceedings of the
reference ||| 3rd International Conference on Metalevel
reference ||| Architectures and Separation of Crosscutting
reference ||| Concerns, volume 2192 of LNCS. Springer Verlag,
reference ||| Sept. 2001.
reference ||| [4] M. Arlitt and T. Jin. A workload characterization
reference ||| study of the 1998 world cup web site. IEEE Network,
reference ||| 14(3):30{37, May 2000.
reference ||| [5] U. ABmann and A. Ludwig. Aspect weaving by graph
reference ||| rewriting. In U. W. Eisenecker and K. Czarnecki,
reference ||| editors, Generative Component-based Software
reference ||| Engineering (GCSE), Erfurt, Oct. 1999.
reference ||| [6] CERT - Carnegie Mellon University. Vulnerability
reference ||| note vu#613459, Feb. 2002. published on line:
reference ||| http://www.kb.cert.org/vuls/id/613459.
reference ||| [7] H. Chen and P. Mohapatra. Catp: A context-aware
reference ||| transportation protocol for http. In International
reference ||| Workshop on New Advances in Web Servers and
reference ||| Proxy Technologies Held with ICDCS, 2003.
reference ||| [8] S. Chiba and K. Nakagawa. Josh: An open
reference ||| AspectJ-like language. In Proceedings of the third
page ||| 37
reference ||| international conference on Aspect-oriented software
reference ||| development, pages 102–111. ACM Press, Mar. 2004.
reference ||| [9] K.-I. Chinen and S. Yamaguchi. An interactive
reference ||| prefetching proxy server for improvement of WWW
reference ||| latency. In Seventh Annual Conference of the Internet
reference ||| Society (INET’97), Kuala Lumpur, June 1997.
reference ||| [10] I. Cidon, A. Gupta, R. Rom, and C. Schuba. Hybrid
reference ||| tcp-udp transport for web traffic. In Proceedings of the
reference ||| 18th IEEE International Performance, Computing,
reference ||| and Communications Conference (IPCCC’99), pages
reference ||| 177–184, Feb. 1990.
reference ||| [11] S. Clowes. Injectso: Modifying and spying on running
reference ||| processes under linux. In Black hat briefings, 2001.
reference ||| [12] Y. Coady, G. Kiczales, M. Feeley, and G. Smolyn.
reference ||| Using AspectC to improve the modularity of
reference ||| Path-Specific customization in operating system code.
reference ||| In V. Gruhn, editor, Proc. of the Joint 8th European
reference ||| Software Engeneering Conference and 9th ACM
reference ||| SIGSOFT Symposium on the Foundation of Software
reference ||| Engeneering (ESEC/FSE-01), volume 26, 5 of
reference ||| SOFTWARE ENGINEERING NOTES, pages 88–98,
reference ||| New York, Sept. 10–14 2001. ACM Press.
reference ||| [13] K. de Volder. Aspect-oriented logic meta
reference ||| programming. In P. Cointe, editor, Meta-Level
reference ||| Architectures and Reflection, 2nd International
reference ||| Conference on Reflection, volume 1616 of LNCS,
reference ||| pages 250–272. Springer Verlag, 1999.
reference ||| [14] R. Douence, P. Fradet, and M. SÄudholt. A framework
reference ||| for the detection and resolution of aspect interactions.
reference ||| In Proceedings of the ACM SIGPLAN/SIGSOFT
reference ||| Conference on Generative Programming and
reference ||| Component Engineering (GPCE’02), volume 2487 of
reference ||| LLNCS, pages 173–188. Springer-Verlag, Oct. 2002.
reference ||| [15] R. Douence, O. Motelet, and M. SÄudholt. A formal
reference ||| definition of crosscuts. In Proceedings of the 3rd
reference ||| International Conference on Metalevel Architectures
reference ||| and Separation of Crosscutting Concerns, volume 2192
reference ||| of LNCS, pages 170–186. Springer Verlag, Sept. 2001.
reference ||| [16] E. Hilsdale and J. Hugunin. Advice weaving in
reference ||| aspectj. In Proceedings of the 3rd international
reference ||| conference on Aspect-oriented software development,
reference ||| pages 26–35. ACM Press, 2004.
reference ||| [17] J. K. Hollingsworth, B. P. Miller, M. J. R. Goncalves,
reference ||| O. Naim, Z. Xu, and L. Zheng. MDL: A language and
reference ||| compiler for dynamic program instrumentation. In
reference ||| IEEE Conference on Parallel Architectures and
reference ||| Compilation Techniques (PACT), pages 201–213, Nov.
reference ||| 1997.
reference ||| [18] Intel Corportation. IA-32 Intel Architecture Software
reference ||| Developer’s Manual. Intel Corportation, 2001.
reference ||| [19] V. Issarny, M. Ban^atre, B. Charpiot, and J.-M.
reference ||| Menaud. Quality of service and electronic newspaper:
reference ||| The Etel solution. Lecture Notes in Computer Science,
reference ||| 1752:472–496, 2000.
reference ||| [20] J. Jaffar, S. Michaylov, P. J. Stuckey, and R. H. C.
reference ||| Yap. The clp( r ) language and system. ACM Trans.
reference ||| Program. Lang. Syst., 14(3):339–395, 1992.
reference ||| [21] JasCo home page. http://ssel.vub.ac.be/jasco/.
reference ||| [22] R. Jones and P. Kelly. Backwards-compatible bounds
reference ||| checking for arrays and pointers in c programs. In
reference ||| M. Kamkar, editor, Proceedings of the Third
reference ||| International Workshop on Automatic Debugging,
reference ||| volume 2, pages 13–26, May 1997.
reference ||| [23] A. D. Keromytis. ”Patch on Demand” Saves Even
reference ||| More Time? IEEE Computer, 37(8):94–96, 2004.
reference ||| [24] G. Kiczales, J. Lamping, A. Menhdhekar, C. Maeda,
reference ||| C. Lopes, J.-M. Loingtier, and J. Irwin.
reference ||| Aspect-oriented programming. In M. Ak»sit and
reference ||| S. Matsuoka, editors, Proceedings European
reference ||| Conference on Object-Oriented Programming, volume
reference ||| 1241, pages 220–242. JyvÄaskylÄa, Finland, June 1997.
reference ||| [25] K. J. Lieberherr, J. Palm, and R. Sundaram.
reference ||| Expressiveness and complexity of crosscut languages.
reference ||| Technical Report NU-CCIS-04-10, Northeastern
reference ||| University, Sept. 2004.
reference ||| [26] H. Masuhara and K. Kawauchi. Dataflow pointcut in
reference ||| aspect-oriented programming. In First Asian
reference ||| Symposium on Programming Languages and Systems
reference ||| (APLAS’03), 2003.
reference ||| [27] R. J. Moore. Dynamic probes and generalised kernel
reference ||| hooks interface for Linux. In USENIX, editor,
reference ||| Proceedings of the 4th Annual Linux Showcase and
reference ||| Conference, Atlanta, October 10–14, 2000, Atlanta,
reference ||| Georgia, USA, Berkeley, CA, USA, 2000. USENIX.
reference ||| [28] A. Popovici, G. Alonso, and T. Gross. Just-in-time
reference ||| aspects: efficient dynamic weaving for Java. In
reference ||| Proceedings of the 2nd international conference on
reference ||| Aspect-oriented software development, pages 100–109,
reference ||| Boston, Massachusetts, Mar. 2003. ACM Press.
reference ||| [29] M. Rabinovich and H. Wang. DHTTP: An efficient
reference ||| and cache-friendly transfer protocol for web traffic. In
reference ||| INFOCOM, pages 1597–1606, 2001.
reference ||| [30] A. Rousskov and D. Wessels. High-performance
reference ||| benchmarking with Web Polygraph. Software Practice
reference ||| and Experience, 34(2):187–211, Feb. 2004.
reference ||| [31] O. Ruwase and M. S. Lam. A practical dynamic buffer
reference ||| overflow detector. In Proceedings of the 11th Annual
reference ||| Network and Distributed System Security Symposium.
reference ||| Internet Society, Feb. 2004.
reference ||| [32] M. S¶egura-Devillechaise, J.-M. Menaud, G. Muller,
reference ||| and J. Lawall. Web cache prefetching as an aspect:
reference ||| Towards a dynamic-weaving based solution. In
reference ||| Proceedings of the 2nd international conference on
reference ||| Aspect-oriented software development, pages 110–119,
reference ||| Boston, MA, USA, Mar. 2003. ACM Press.
reference ||| [33] O. Spinczyk, A. Gal, and W. Schroeder-Preikschat.
reference ||| AspectC++: an aspect-oriented extension to the C++
reference ||| programming language. In Proceedings of the Fortieth
reference ||| International Conference on Tools Pacific, pages
reference ||| 53–60. Australian Computer Society, Inc., 2002.
reference ||| [34] A. Srivastava and A. Edwards. Vulcan: Binary
reference ||| transformation in a distributed environment. Microsoft
reference ||| Research Tech. Rpt. MSR-TR-2001-50, 2001.
reference ||| [35] U. S. L. System Unix. System V Application Binary
reference ||| Interface Intel 386 Architecture Processor Supplement.
reference ||| Prentice Hall Trade, 1994.
reference ||| [36] D. Wessels. Squid: The Definitive Guide. O’Reilly and
reference ||| Associates, Jan. 2004.
reference ||| [37] J. Wilander and M. Kamkar. A comparison of publicly
reference ||| available tools for dynamic buffer overflow prevention.
reference ||| In Proceedings of the 10th Network and Distributed
reference ||| System Security Symposium, pages 149–162, San
reference ||| Diego, California, February 2003.
page ||| 38
