title ||| Accelerated Focused Crawling through
bodyText ||| The use of cocitation features did not improve the accuracy
bodyText ||| of the apprentice to any appreciable extent.
bodyText ||| For both kinds of features, we estimated that random
bodyText ||| variations in crawling behavior (because of fluctuating
bodyText ||| network load and tie-breaking frontier scores) may prevent
bodyText ||| us from measuring an actual benefit to crawling under
bodyText ||| realistic operating conditions. We note that these ideas may
bodyText ||| be useful in other settings.
sectionHeader ||| 4 Conclusion
bodyText ||| We have presented a simple enhancement to a focused
bodyText ||| crawler that helps assign better priorities to the unvisited
bodyText ||| URLs in the crawl frontier. This leads to a higher rate of
bodyText ||| fetching pages relevant to the focus topic and fewer false
bodyText ||| positives which must be discarded after spending network,
bodyText ||| CPU and storage resources processing them. There is no
bodyText ||| need to manually train the system with paths leading to
bodyText ||| relevant pages. The key idea is an apprentice learner which
bodyText ||| can accurately predict the worth of fetching a page using
bodyText ||| DOM features on pages that link to it. We show that the
bodyText ||| DOM features we use are superior to simpler alternatives.
bodyText ||| Using topics from Dmoz, we show that our new system can
bodyText ||| cut down the fraction of false positives by 30–90%.
bodyText ||| We are exploring several directions in ongoing work.
bodyText ||| We wish to revisit continuous regression techniques for the
bodyText ||| apprentice, as well as more extensive features derived from
bodyText ||| the DOM. For example, we can associate with a token t the
bodyText ||| length $ of the DOM path from the text node containing t to
figure ||| 0	0-.2	.2-.4.4-.6	.6-.8.8-1
figure ||| Estimated relevance of outlinks
figure ||| Baseline
figure ||| Apprentice
figure ||| (b)	4500	#Pages crawled	5500
figure ||| Collect instances
figure ||| for apprentice
figure ||| Train
figure ||| apprentice
figure ||| Apprentice
figure ||| guides crawl
figure ||| Folk Dancing
figure ||| 2700
figure ||| 2600
figure ||| 2500
figure ||| 2400
figure ||| 2300
figure ||| 2200
figure ||| 2100
figure ||| 12000
figure ||| 10000
figure ||| 8000
figure ||| 6000
figure ||| 4000
figure ||| 2000
figure ||| 0
figure ||| 1800
figure ||| 1600
figure ||| 1400
figure ||| 1200
figure ||| 1000
figure ||| 800
figure ||| 600
figure ||| 2000 3000 4000 5000 6000 7000 8000
figure ||| #Pages fetched
figure ||| Collect
figure ||| instances for
figure ||| apprentice
figure ||| Classical Composers
figure ||| Train
figure ||| apprentice
figure ||| Apprentice
figure ||| guides crawl
page ||| 158
bodyText ||| the HREF to v, or the depth of their least common ancestor
bodyText ||| in the DOM tree. We cannot use these in lieu of DOM offset,
bodyText ||| because regions which are far apart lexically may be close
bodyText ||| to each other along a DOM path. (t, f, d) features will be
bodyText ||| more numerous and sparser than (t, d) features, and could
bodyText ||| be harder to learn. The introduction of large numbers of
bodyText ||| strongly dependent features may even reduce the accuracy
bodyText ||| of the apprentice. Finally, we wish to implement some form
bodyText ||| of active learning where only those instances (u, v) with the
bodyText ||| largest I Pr(c* Iu) - Pr(c* Iv) I are chosen as training instances
bodyText ||| for the apprentice.
bodyText ||| Acknowledgments: Thanks to the referees for suggest-
bodyText ||| ing that we present Figure 7.
sectionHeader ||| References
reference ||| [1] C. C. Aggarwal, F. Al-Garawi, and P. S. Yu. Intelligent
reference ||| crawling on the World Wide Web with arbitrary predicates. In
reference ||| WWW2001, Hong Kong, May 2001. ACM. Online at http:
reference ||| //www10.org/cdrom/papers/110/.
reference ||| [2] C. Apte, F. Damerau, and S. M. Weiss. Automated learning
reference ||| of decision rules for text categorization. ACM Transactions on
reference ||| Information Systems, 1994. IBM Research Report RC18879.
reference ||| [3] A. Blum and T. M. Mitchell. Combining labeled and unlabeled
reference ||| data with co-training. In Computational Learning Theory,
reference ||| pages 92–100,1998.
reference ||| [4] S. Chakrabarti. Integrating the document object model with
reference ||| hyperlinks for enhanced topic distillation and information
reference ||| extraction. In WWW 10, Hong Kong, May 2001. Online at
reference ||| http://www10.org/cdrom/papers/489.
reference ||| [5] S. Chakrabarti, B. Dom, R. Agrawal, and P. Raghavan.
reference ||| Scalable feature selection, classification and signature generation
reference ||| for organizing large text databases into hierarchical topic
reference ||| taxonomies. VLDB Journal, Aug. 1998. Online at http:
reference ||| //www.cs.berkeley.edu/~soumen/VLDB54_3.PDF.
reference ||| [6] S. Chakrabarti, B. Dom, D. Gibson, J. Kleinberg, P. Raghavan,
reference ||| and S. Rajagopalan.	Automatic resource compilation by
reference ||| analyzing hyperlink structure and associated text. In 7th World-
reference ||| wide web conference (WWW7), 1998. Online at http://www7.
reference ||| scu.edu.au/programme/fullpapers/1898/com1898.html.
reference ||| [7] S. Chakrabarti, B. Dom, and P. Indyk. Enhanced hypertext
reference ||| categorization using hyperlinks. In SIGMOD Conference. ACM,
reference ||| 1998. Online at http://www.cs.berkeley.edu/~soumen/sigmod98.
reference ||| ps.
reference ||| [8] S. Chakrabarti, B. E. Dom, D. A. Gibson, R. Kumar,
reference ||| P. Raghavan, S. Rajagopalan, and A. Tomkins. Topic distillation
reference ||| and spectral filtering. Artificial Intelligence Review, 13(5–
reference ||| 6):409–435, 1999.
reference ||| [9] S. Chakrabarti, M. van den Berg, and B. Dom. Focused
reference ||| crawling: a new approach to topic-specific web resource
reference ||| discovery. Computer Networks, 31:1623–1640, 1999. First
reference ||| appeared in the 8th International World Wide Web Conference,
reference ||| Toronto, May 1999. Available online at http://www8.org/
reference ||| w8-papers/5a-search-query/crawling/index.html.
reference ||| [10] J. Cho, H. Garcia-Molina, and L. Page. Efficient crawling
reference ||| through URL ordering. In 7th World Wide Web Conference,
reference ||| Brisbane, Australia, Apr. 1998. Online at http://www7.scu.edu.
reference ||| au/programme/fullpapers/1919/com1919.htm.
reference ||| [11] B. D. Davison. Topical locality in the Web. In Proceedings
reference ||| of the 23rd Annual International Conference on Research and
reference ||| Development in Information Retrieval (SIGIR 2000), pages
reference ||| 272–279, Athens, Greece, July 2000. ACM. Online at http://
reference ||| www.cs.rutgers.edu/~davison/pubs/2000/sigir/.
reference ||| [12] P. M. E. De Bra and R. D. J. Post. Information retrieval
reference ||| in the world-wide web: Making client-based searching feasible.
reference ||| In Proceedings of the First International World Wide Web
reference ||| Conference, Geneva, Switzerland, 1994. Online at http://www1.
reference ||| cern.ch/PapersWWW94/reinpost.ps.
reference ||| [13] P. M. E. De Bra and R. D. J. Post. Searching for arbitrary
reference ||| information in the WWW: The fish search for Mosaic. In Second
reference ||| World Wide Web Conference ’9¢: Mosaic and the Web,
reference ||| Chicago, Oct. 1994. Online at http://archive.ncsa.uiuc.edu/
reference ||| SDG/IT94/Proceedings/Searching/debra/article.html and http:
reference ||| //citeseer.nj.nec.com/172936.html.
reference ||| [14] M. Diligenti, F. Coetzee, S. Lawrence, C. L. Giles, and M. Gori.
reference ||| Focused crawling using context graphs. In A. E. Abbadi, M. L.
reference ||| Brodie, S. Chakravarthy, U. Dayal, N. Kamel, G. Schlageter,
reference ||| and K.-Y. Whang, editors, VLDB 2000, Proceedings of
reference ||| 26th International Conference on Very Large Data Bases,
reference ||| September 10-1¢, 2000, Cairo, Egypt, pages 527–534. Morgan
reference ||| Kaufmann, 2000. Online at http://www.neci.nec.com/~lawrence/
reference ||| papers/focus-vldb00/focus-vldb00.pdf.
reference ||| [15] W. A. Gale, K. W. Church, and D. Yarowsky. A method for
reference ||| disambiguating word senses in a large corpus. Computer and
reference ||| the Humanities, 26:415–439, 1993.
reference ||| [16] M. Hersovici, M. Jacovi, Y. S. Maarek, D. Pelleg, M. Shtalhaim,
reference ||| and S. Ur. The shark-search algorithm—an application: Tailored
reference ||| Web site mapping. In WWW7, 1998. Online at http://www7.scu.
reference ||| edu.au/programme/fullpapers/1849/com1849.htm.
reference ||| [17] T. Joachims, D. Freitag, and T. Mitchell. Web Watcher: A tour
reference ||| guide for the web. In IJCAI, Aug. 1997. Online at http://www.
reference ||| cs.cmu.edu/~webwatcher/ijcai97.ps.
reference ||| [18] H. Leiberman. Letizia: An agent that assists Web browsing. In
reference ||| International Joint Conference on Artificial Intelligence (IJ-
reference ||| CAI), Montreal, Aug. 1995. See Website at http://lieber.www.
reference ||| media.mit.edu/people/lieber/Lieberary/Letizia/Letizia.html.
reference ||| [19] H. Leiberman, C. Fry, and L. Weitzman. Exploring the Web
reference ||| with reconnaissance agents. CACM, 44(8):69–75, Aug. 2001.
reference ||| http://www.acm.org/cacm.
reference ||| [20] A. McCallum. Bow: A toolkit for statistical language modeling,
reference ||| text retrieval, classification and clustering. Software available
reference ||| from http://www.cs.cmu.edu/~mccallum/bow/,1998.
reference ||| [21] A. McCallum and K. Nigam. A comparison of event models for
reference ||| naive Bayes text classification. In AAAI/ICML-98 Workshop
reference ||| on Learning for Teat Categorization, pages 41–48. AAAI Press,
reference ||| 1998. Online at http://www.cs.cmu.edu/~knigam/.
reference ||| [22] A. McCallum and K. Nigam. A comparison of event models for
reference ||| naive Bayes text classification. In AAAI/ICML-98 Workshop
reference ||| on Learning for Teat Categorization, pages 41–48. AAAI Press,
reference ||| 1998. Also technical report WS-98-05, CMU; online at http:
reference ||| //www.cs.cmu.edu/~knigam/papers/multinomial-aaaiws98.pdf.
reference ||| [23] F. Menczer. Links tell us about lexical and semantic
reference ||| Web content. Technical Report Computer Science Abstract
reference ||| CS.IR/0108004, arXiv.org, Aug. 2001. Online at http://arxiv.
reference ||| org/abs/cs.IR/0108004.
reference ||| [24] F. Menczer and R. K. Belew. Adaptive retrieval agents:
reference ||| Internalizing local context and scaling up to the Web. Machine
reference ||| Learning, 39(2/3):203–242, 2000. Longer version available as
reference ||| Technical Report CS98-579, http://dollar.biz.uiowa.edu/~fil/
reference ||| Papers/MLJ.ps, University of California, San Diego.
reference ||| [25] F. Menczer, G. Pant, M. Ruiz, and P. Srinivasan. Evaluating
reference ||| topic-driven Web crawlers. In SIGIR, New Orleans, Sept. 2001.
reference ||| ACM.	Online at http://dollar.biz.uiowa.edu/~fil/Papers/
reference ||| sigir-01.pdf.
reference ||| [26] T. Mitchell. Machine Learning. McGraw Hill, 1997.
reference ||| [27] T. Mitchell. Mining the Web. In SIGIR 2001, Sept. 2001. Invited
reference ||| talk.
reference ||| [28] S. Mukherjea. WTMS: a system for collecting and analyzing
reference ||| topic-specific Web information. WWW9/Computer Networks,
reference ||| 33(1–6):457–471, 2000. Online at http://www9.org/w9cdrom/293/
reference ||| 293.html.
reference ||| [29] S. RaviKumar, P. Raghavan, S. Rajagopalan, D. Sivakumar,
reference ||| A. Tomkins, and E. Upfal. Stochastic models for the Web graph.
reference ||| In FOCS, volume 41, pages 57–65. IEEE, nov 2000. Online at
reference ||| http://www.cs.brown.edu/people/eli/papers/focs00.ps.
reference ||| [30] J. Rennie and A. McCallum. Using reinforcement learning to
reference ||| spider the web efficiently. In ICML, 1999. Online at http://
reference ||| www.cs.cmu.edu/~mccallum/papers/rlspider-icml99s.ps.gz.
reference ||| [31] G. Salton and M. J. McGill. Introduction to Modern
reference ||| Information Retrieval. McGraw-Hill, 1983.
reference ||| [32] M. Subramanyam, G. V. R. Phanindra, M. Tiwari, and M. Jain.
reference ||| Focused crawling using TFIDF centroid. Hypertext Retrieval
reference ||| and Mining (CS610) class project, Apr. 2001. Details available
reference ||| from manyam@cs.utexas.edu.
reference ||| [33] L. Torgo and J. Gama. Regression by classification. In D. Borges
reference ||| and C. Kaestner, editors, Brasilian AI Symposium, volume 1159
reference ||| of Lecture Notes in Artificial Intelligence, Curitiba, Brazil,
reference ||| 1996. Springer-Verlag. Online at http://www.ncc.up.pt/~ltorgo/
reference ||| Papers/list_pub.html.
page ||| 159
