title ||| A Resilient Packet-Forwarding Scheme against Maliciously
reference ||| 1109-1115, 2002.
reference ||| [19] Y.-C. Hu, D. B. Johnson, and A. Perrig, SEAD:
reference ||| Secure Efficient Distance Vector Routing for Mobile
reference ||| Wireless Ad Hoc Networks, IEEE Workshop on Mobile
reference ||| Computing Systems and Applications, pp. 3-13, Jun.
reference ||| 2002.
reference ||| [20] Y.-C. Hu, A. Perrig, and D. B. Johnson, Efficient
reference ||| Security Mechanisms for Routing Protocols, NDSS
reference ||| 2003, pp. 57-73, Feb. 2003.
reference ||| [21] C. Intanagonwiwat, R. Govindan and D. Estrin,
reference ||| Directed Diffusion: A Scalable and Robust
reference ||| Communication Paradigm for Sensor Networks,
reference ||| MobiCom’00, Aug. 2000.
reference ||| [22] D. Johnson, D.A. Maltz, and J. Broch, The Dynamic
reference ||| Source Routing Protocol for Mobile Ad Hoc Networks
reference ||| (Internet-Draft), Mobile Ad-hoc Network (MANET)
reference ||| Working Group, IETF, Oct. 1999.
reference ||| [23] C. Karlof and D. Wagner, Secure Routing in Wireless
reference ||| Sensor Networks: Attacks and Countermeasures, The
reference ||| First IEEE International Workshop on Sensor Network
reference ||| Protocols and Applications, pp. 113-127, May 2003
reference ||| [24] C. Karlof, N. Sastry, and D. Wagner, TinySec: A Link
reference ||| Layer Security Architecture for Wireless Sensor
reference ||| Networks, ACM SensSys’04, pp. 162-175, Nov. 2004.
reference ||| [25] I. Khalil, S. Bagchi, and C. Nina-Rotaru, DICAS:
reference ||| Detection, Diagnosis and Isolation of Control Attacks
reference ||| in Sensor Networks, IEEE SecureComm 2005, pp. 89 -
reference ||| 100, Sep. 2005
reference ||| [26] Y. Liu and W. K.G. Seah, A Priority-Based
reference ||| Multi-Path Routing Protocol for Sensor Networks,
reference ||| 15th IEEE International Symposium on Volume 1, 216
reference ||| -220, 2004
reference ||| [27] S.-B. Lee and Y.-H. Choi, A Secure Alternate Path
reference ||| Routing in Sensor Networks, Computer
reference ||| Communications (2006),
reference ||| doi:10.1016 /j . comcom.2006.08.006.
reference ||| [28] S. Marti, T.J. Giuli, K. Lai, and M. Baker, Mitigating
reference ||| Routing Misbehavior in Mobile Ad Hoc Networks,
reference ||| ACM/IEEE International Conference on Mobile
reference ||| Computing and Networking, pp. 255-265, 2000
reference ||| [29] H. Morcos, I. Matta, and A. Bestavros, M2 RC:
reference ||| Multiplicative-Increase/Additive-Decrease Multipath
reference ||| Routing Control for Wireless Sensor Networks, ACM
reference ||| SIGBED Review, Vol. 2, Jan 2005.
reference ||| [30] J. Newsome, E. Shi, D. Song, and A. Perrig, The Sybil
reference ||| Attack in Sensor Networks: Analysis and Defenses,
reference ||| IEEE IPSN’04, pp. 259-268, Apr. 2004.
reference ||| [31] B. Parno, A. Perrig, and V. D. Gligor, Distributed
reference ||| Detection of Node Replication Attacks in Sensor
reference ||| Networks, the 2005 IEEE Symposium on Security and
reference ||| Privacy, pp. 49-63, May 2005.
reference ||| [32] A. Perrig, R. Szewczyk, V. Wen, D. Culler, and
reference ||| J. Tygar, SPINS: Security Protocols for Sensor
reference ||| Networks, ACM MobiCom’01, pp. 189-199, 2001.
reference ||| [33] A. Perrig, J. Stankovic, and D. Wagner, Security in
reference ||| Wireless Sensor Networks, Communications of the
reference ||| ACM, 47(6), Special Issue on Wireless sensor
reference ||| networks, pp.53- 57, Jun. 2004
reference ||| [34] B. Przydatek, D. Song, and A. Perrig, SIA: Secure
reference ||| Information Aggregation in Sensor Networks, 1st
reference ||| International Conference on Embedded Networked
reference ||| Sensor Systems, 255-256, 2003
reference ||| [35] E. Shi and A. Perrig, Designing Secure Sensor
reference ||| Networks, Wireless Communications, IEEE Volume
reference ||| 11, Issue 6, pp. 38-43, Dec. 2004.
reference ||| [36] D. Tian and N.D. Georganas, Energy Efficient
reference ||| Routing with Guaranteed Delivery in Wireless Sensor
reference ||| Networks, IEEE Wireless Communications and
reference ||| Networking (WCNC 2003), IEEE Volume 3, 1923 -
reference ||| 1929, March 2003
reference ||| [37] A. Woo, T. Tong, and D. Culler, Taming the
reference ||| Underlying Challenges of Reliable Multhop Routing in
reference ||| Sensor Networks, ACM SenSys03, Nov, 2003
reference ||| [38] A. Wood and J. Stankovic, Denial of Service in Sensor
reference ||| Networks, IEEE Computer, Vol.35, 54-62, Oct. 2002
reference ||| [39] H.Yang, F. Ye, Y. Yuan, S. Lu and W. Arbough,
reference ||| Toward Resilient Security in Wireless Sensor
reference ||| Networks, ACM MobiHoc’05, 34-45, May 2005
reference ||| [40] Y. Yang, X. Wang, S. Zhu, and G. Cao SDAP: A
reference ||| Secure Hop-by-Hop Data Aggregation Protocol for
reference ||| Sensor Networks, ACM MobiHoc’06 May 2006
reference ||| [41] F. Ye, H. Luo, S. Lu and L. Zhang, Statictial En-route
reference ||| Filtering of Injected False Data in Sensor Networks,
reference ||| IEEE INFOCOM, 2004
reference ||| [42] F. Ye, G. Zhong, S. Lu and L. Zhang, GRAdient
reference ||| Broadcast: A Robust Data Delivery Protocol for Large
reference ||| Scale Sensor Networks, ACM Wireless Networks
reference ||| (WINET), March 2005
reference ||| [43] Y. Yu, R. Govindan, and D. Estrin, Geographical and
reference ||| Energy Aware Routing: a recursive data dissemination
reference ||| protocol for wireless sensor networks, UCLA
reference ||| Computer Science Department Technical Report
reference ||| UCLA/CSD-TR-01-0023, May 2001.
reference ||| [44] W. Zhang and G. Cao, Group Rekeying for Filtering
reference ||| False Data in Sensor Networks: A Predistribution and
reference ||| Local Collaboration-Based Approach, IEEE
reference ||| INFOCOM’05. Vol. 1, 503-514, March 2005
reference ||| [45] G. Zhou, T. He, S. Krishnamurthy, and J. A.
reference ||| Stankovic, Impact of radio irregularity on wireless
reference ||| sensor networks, the 2nd International Conference on
reference ||| Mobile Systems, Applications, and Services
reference ||| (MobiSys04), June, 2004
reference ||| [46] S. Zhu, S. Setia, and S. Jajodia, LEAP: Efficient
reference ||| Security Mechanisms for Large-Scale Distributed
reference ||| Sensor Networks, The 10th ACM Conference on
reference ||| Computer and Communications Security (CCS ’03),
reference ||| 62-72, 2003
reference ||| [47] S.Zhu, S. Setia, S. Jajodia, and P. Ning, An
reference ||| Interleaved Hop-by-Hop Authentication Scheme for
reference ||| Filtering False Data in Sensor Networks, IEEE
reference ||| Symposium on Security and Privacy, 2004
page ||| 69
